id,width,height,url,photographer,photographer_url,photographer_id,avg_color,original,large2x,large,medium,small,portrait,landscape,tiny,liked,alt,orientation,photographer_lower,aspect_ratio
9622836,5184,3456,https://www.pexels.com/photo/a-woman-sitting-on-the-floor-9622836/,Wayne Fotografias,https://www.pexels.com/@wayne-fotografias-1812121,1812121,#949286,https://images.pexels.com/photos/9622836/pexels-photo-9622836.jpeg,https://images.pexels.com/photos/9622836/pexels-photo-9622836.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/9622836/pexels-photo-9622836.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/9622836/pexels-photo-9622836.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/9622836/pexels-photo-9622836.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/9622836/pexels-photo-9622836.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/9622836/pexels-photo-9622836.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/9622836/pexels-photo-9622836.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Young black woman in trendy streetwear posing against graffiti wall.,landscape,wayne fotografias,1.5
30269897,3000,4000,https://www.pexels.com/photo/fashionable-streetwear-look-with-casual-jeans-30269897/,Anointing David,https://www.pexels.com/@anointing-david-823753264,823753264,#817F82,https://images.pexels.com/photos/30269897/pexels-photo-30269897.jpeg,https://images.pexels.com/photos/30269897/pexels-photo-30269897.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30269897/pexels-photo-30269897.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30269897/pexels-photo-30269897.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30269897/pexels-photo-30269897.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30269897/pexels-photo-30269897.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30269897/pexels-photo-30269897.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30269897/pexels-photo-30269897.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Close-up of stylish jeans and sneakers on a paved street.,portrait,anointing david,0.75
6439228,2000,2000,https://www.pexels.com/photo/woman-in-jeans-sitting-and-posing-6439228/,Lucas Castro,https://www.pexels.com/@lucas-castro-17629060,17629060,#A6A4A9,https://images.pexels.com/photos/6439228/pexels-photo-6439228.jpeg,https://images.pexels.com/photos/6439228/pexels-photo-6439228.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/6439228/pexels-photo-6439228.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/6439228/pexels-photo-6439228.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/6439228/pexels-photo-6439228.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/6439228/pexels-photo-6439228.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/6439228/pexels-photo-6439228.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/6439228/pexels-photo-6439228.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Young woman in ripped jeans and crop top sitting outdoors, showcasing casual style.",portrait,lucas castro,1
6439218,2000,2000,https://www.pexels.com/photo/young-beautiful-woman-in-crop-top-crouching-by-the-net-6439218/,Lucas Castro,https://www.pexels.com/@lucas-castro-17629060,17629060,#B4B2B3,https://images.pexels.com/photos/6439218/pexels-photo-6439218.jpeg,https://images.pexels.com/photos/6439218/pexels-photo-6439218.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/6439218/pexels-photo-6439218.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/6439218/pexels-photo-6439218.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/6439218/pexels-photo-6439218.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/6439218/pexels-photo-6439218.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/6439218/pexels-photo-6439218.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/6439218/pexels-photo-6439218.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Young woman in casual fashion poses by a chain-link fence on a sunny outdoor path.,portrait,lucas castro,1
5699798,2592,1728,https://www.pexels.com/photo/close-up-shot-of-a-person-wearing-ripped-jeans-5699798/,PRASAD TEDDU,https://www.pexels.com/@prasad-teddu-756951,756951,#A66C54,https://images.pexels.com/photos/5699798/pexels-photo-5699798.jpeg,https://images.pexels.com/photos/5699798/pexels-photo-5699798.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/5699798/pexels-photo-5699798.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5699798/pexels-photo-5699798.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/5699798/pexels-photo-5699798.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5699798/pexels-photo-5699798.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/5699798/pexels-photo-5699798.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/5699798/pexels-photo-5699798.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Close-up of a person's legs in ripped jeans and sneakers against a graffitied wall.,landscape,prasad teddu,1.5
9216704,2000,2500,https://www.pexels.com/photo/woman-wearing-a-sweater-and-denim-jeans-9216704/,Ali Pazani,https://www.pexels.com/@alipazani,1339444,#625F56,https://images.pexels.com/photos/9216704/pexels-photo-9216704.jpeg,https://images.pexels.com/photos/9216704/pexels-photo-9216704.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/9216704/pexels-photo-9216704.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/9216704/pexels-photo-9216704.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/9216704/pexels-photo-9216704.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/9216704/pexels-photo-9216704.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/9216704/pexels-photo-9216704.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/9216704/pexels-photo-9216704.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Stylish woman posing in casual streetwear, standing near air conditioning units. Perfect for urban fashion themes.",portrait,ali pazani,0.8
35462858,2880,3600,https://www.pexels.com/photo/fashionable-man-lounging-on-a-sofa-indoors-35462858/,Justbeingblythe,https://www.pexels.com/@justbeingblythe-2157428597,2157428597,#414956,https://images.pexels.com/photos/35462858/pexels-photo-35462858.jpeg,https://images.pexels.com/photos/35462858/pexels-photo-35462858.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/35462858/pexels-photo-35462858.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/35462858/pexels-photo-35462858.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/35462858/pexels-photo-35462858.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/35462858/pexels-photo-35462858.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/35462858/pexels-photo-35462858.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/35462858/pexels-photo-35462858.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Trendy man with sunglasses relaxing on a sofa in a stylish modern setting.,portrait,justbeingblythe,0.8
36647206,1702,2560,https://www.pexels.com/photo/young-adult-in-denim-jacket-and-glasses-portrait-36647206/,Jorge Ortiz,https://www.pexels.com/@jorge-ortiz-1225704701,1225704701,#A39A89,https://images.pexels.com/photos/36647206/pexels-photo-36647206.jpeg,https://images.pexels.com/photos/36647206/pexels-photo-36647206.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/36647206/pexels-photo-36647206.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/36647206/pexels-photo-36647206.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/36647206/pexels-photo-36647206.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/36647206/pexels-photo-36647206.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/36647206/pexels-photo-36647206.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/36647206/pexels-photo-36647206.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Stylish young adult male with glasses in a denim jacket against a neutral background.,portrait,jorge ortiz,0.66
36933836,6048,3402,https://www.pexels.com/photo/casual-urban-style-with-denim-jacket-and-car-36933836/,Andy Lee,https://www.pexels.com/@andy-lee-1453672476,1453672476,#72858B,https://images.pexels.com/photos/36933836/pexels-photo-36933836.jpeg,https://images.pexels.com/photos/36933836/pexels-photo-36933836.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/36933836/pexels-photo-36933836.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/36933836/pexels-photo-36933836.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/36933836/pexels-photo-36933836.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/36933836/pexels-photo-36933836.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/36933836/pexels-photo-36933836.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/36933836/pexels-photo-36933836.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Young adult in denim leaning against vintage car under a clear sky.,landscape,andy lee,1.8
15360026,2200,2750,https://www.pexels.com/photo/man-in-black-hoodie-and-torn-jeans-15360026/,mahdi chaghari,https://www.pexels.com/@mahdi-chaghari-9996334,9996334,#3F4D4D,https://images.pexels.com/photos/15360026/pexels-photo-15360026.jpeg,https://images.pexels.com/photos/15360026/pexels-photo-15360026.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/15360026/pexels-photo-15360026.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/15360026/pexels-photo-15360026.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/15360026/pexels-photo-15360026.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/15360026/pexels-photo-15360026.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/15360026/pexels-photo-15360026.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/15360026/pexels-photo-15360026.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Stylish man in sunglasses and torn jeans walking in urban setting,portrait,mahdi chaghari,0.8
